Player,Team,Offensive Archetype,Age,Exp,GP,Minutes,MPG,LEBRON,O-LEBRON,D-LEBRON,LEBRON WAR
A'ja Wilson,LVA,Post Scorer,29,7,48,1535,32,7.02,3.62,3.4,8.2
Breanna Stewart,NYL,Roll + Cut Big,31,8,34,1043,30.7,4.84,2.7,2.14,4.3
Veronica Burton,GSV,Ball Handler,25,3,46,1362,29.6,3.99,2.14,1.85,4.9
Napheesa Collier,MIN,Post Scorer,29,6,39,1273,32.6,3.93,2.59,1.35,4.5
Aliyah Boston,IND,Post Scorer,23,2,53,1612,30.4,3.92,2.05,1.87,5.8
Allisha Gray,ATL,Shooter,30,8,45,1550,34.4,3.62,3.03,0.59,5.2
Alyssa Thomas,PHO,Roll + Cut Big,33,11,46,1477,32.1,3.34,1.63,1.71,4.8
Rhyne Howard,ATL,Shooter,25,3,36,1256,34.9,3.14,2.81,0.33,3.9
Courtney Williams,MIN,Ball Handler,31,9,51,1489,29.2,3.07,0.99,2.08,4.6
Satou Sabally,PHO,Stretch Big,27,5,46,1275,27.7,3.03,1.74,1.3,3.9
Brionna Jones,ATL,Post Scorer,29,8,47,1254,26.7,2.97,1.84,1.13,3.8
Alanna Smith,MIN,Shooter,29,6,49,1286,26.2,2.69,0.75,1.94,3.7
Sabrina Ionescu,NYL,Athletic Finisher,27,5,41,1300,31.7,2.54,2.86,-0.31,3.6
Jackie Young,LVA,Ball Handler,28,6,52,1616,31.1,2.26,2.42,-0.16,4.2
Jonquel Jones,NYL,Versatile Big,31,8,34,919,27,2.24,1.02,1.22,2.4
Kelsey Mitchell,IND,Athletic Finisher,29,7,53,1675,31.6,2.18,2.29,-0.11,4.2
Jordin Canada,ATL,Ball Handler,30,7,31,864,27.9,2.09,1.04,1.05,2.1
Natasha Mack,PHO,Roll + Cut Big,27,2,41,732,17.9,1.96,-0.64,2.6,1.8
Kayla McBride,MIN,Shooter,33,11,46,1476,32.1,1.96,1.56,0.4,3.5
Dearica Hamby,LAS,Roll + Cut Big,31,10,44,1374,31.2,1.77,1.95,-0.18,3.1
Brittney Sykes,SEA,Athletic Finisher,31,8,42,1260,30,1.73,0.84,0.89,2.9
Gabby Williams,SEA,Shooter,29,6,47,1482,31.5,1.67,0.06,1.61,3.3
Chelsea Gray,LVA,Shooter,32,10,52,1646,31.7,1.63,1.43,0.21,3.6
Maria Kliundikova,MIN,Roll + Cut Big,27,2,40,430,10.7,1.52,-0.33,1.85,0.9
Kayla Thornton,GSV,Shooter,32,9,22,662,30.1,1.47,0.82,0.65,1.4
Naz Hillmon,ATL,Athletic Finisher,25,3,47,1223,26,1.47,0.61,0.86,2.6
Emily Engstler,WAS,Shooter,25,3,40,512,12.8,1.43,0.25,1.18,1.1
Cameron Brink,LAS,Stretch Big,23,1,19,244,12.9,1.37,-1.46,2.84,0.5
Nneka Ogwumike,SEA,Stretch Big,35,13,47,1451,30.9,1.35,1.55,-0.2,3
Nia Coffey,ATL,Shooter,30,8,47,471,10,1.35,0.44,0.91,1
Paige Bueckers,DAL,Athletic Finisher,23,R,36,1199,33.3,1.35,1.68,-0.33,2.4
Skylar Diggins,SEA,Ball Handler,35,10,46,1440,31.3,1.23,1.54,-0.31,2.8
Courtney Vandersloot,CHI,Ball Handler,36,14,7,191,27.2,1.22,-0.05,1.27,0.4
Natasha Howard,IND,Post Scorer,34,11,53,1291,24.4,1.18,0.21,0.97,2.5
NaLyssa Smith,LVA,Roll + Cut Big,25,3,53,1157,21.8,1.12,-0.61,1.73,2.2
Ezi Magbegor,SEA,Roll + Cut Big,26,5,47,1277,27.2,1.1,-1.19,2.29,2.4
Julie Allemand,LAS,Shooter,29,2,34,963,28.3,1.1,0.81,0.29,1.8
Caitlin Clark,IND,Ball Handler,23,1,13,404,31,1.1,2.03,-0.93,0.8
LeÃ¯la Lacan,CON,Ball Handler,21,R,25,665,26.6,1.05,0.35,0.71,1.2
Angel Reese,CHI,Post Scorer,23,1,30,939,31.3,1.05,0.8,0.25,1.7
Monique Billings,GSV,Roll + Cut Big,29,7,28,503,18,0.93,-0.72,1.65,0.9
Azura Stevens,LAS,Athletic Finisher,29,7,44,"1,249",28.4,0.92,1.45,-0.52,2.2
Kelsey Plum,LAS,Ball Handler,31,7,43,"1,508",35.1,0.89,2.88,-1.98,2.6
Lexie Hull,IND,Athletic Finisher,26,3,53,"1,472",27.8,0.85,0.21,0.64,2.6
Laeticia Amihere,GSV,Athletic Finisher,24,2,30,389,13,0.64,0.01,0.63,0.6
Jessica Shepard,MIN,Roll + Cut Big,29,4,47,955,20.3,0.6,0.51,0.08,1.5
Kaila Charles,GSV,Shooter,27,4,37,662,17.9,0.52,0.08,0.45,1
Natasha Cloud,NYL,Ball Handler,33,9,44,"1,294",29.4,0.45,-0.21,0.65,1.9
Temi FÃ¡gbÃ©nlÃ©,GSV,Roll + Cut Big,33,4,40,945,23.6,0.39,-1.52,1.92,1.4
Monique Akoa Makani,PHO,Shooter,24,R,48,"1,043",21.7,0.38,-0.3,0.68,1.5
Natisha Hiedeman,MIN,Shooter,28,6,51,973,19.1,0.33,1.21,-0.89,1.4
Aari McDonald,IND,Shooter,27,4,21,550,26.2,0.2,0.38,-0.17,0.7
Kathryn Westbeld,PHO,Shooter,29,R,50,876,17.5,0.18,-0.94,1.12,1.2
